forecast_id,rep_id,month,predicted_revenue
1,1,01/01/2024,52000
2,2,01/01/2024,47500
3,3,01/01/2024,61000
4,4,01/01/2024,38000
5,5,01/01/2024,55000
6,6,01/01/2024,43000
7,7,01/01/2024,67000
8,8,01/01/2024,49000
9,9,01/01/2024,71000
10,10,01/01/2024,36000
11,1,02/01/2024,54500
12,2,02/01/2024,49000
13,3,02/01/2024,63500
14,4,02/01/2024,40000
15,5,02/01/2024,57500
16,6,02/01/2024,45500
17,7,02/01/2024,69500
18,8,02/01/2024,51000
19,9,02/01/2024,73500
20,10,02/01/2024,38000
21,1,03/01/2024,58000
22,2,03/01/2024,52000
23,3,03/01/2024,68000
24,4,03/01/2024,44000
25,5,03/01/2024,61000
26,6,03/01/2024,49000
27,7,03/01/2024,74000
28,8,03/01/2024,55000
29,9,03/01/2024,79000
30,10,03/01/2024,41000
31,1,04/01/2024,56000
32,2,04/01/2024,50500
33,3,04/01/2024,66000
34,4,04/01/2024,42500
35,5,04/01/2024,59500
36,6,04/01/2024,47500
37,7,04/01/2024,72000
38,8,04/01/2024,53000
39,9,04/01/2024,77000
40,10,04/01/2024,39500
41,1,05/01/2024,60000
42,2,05/01/2024,54000
43,3,05/01/2024,70000
44,4,05/01/2024,46000
45,5,05/01/2024,63000
46,6,05/01/2024,51000
47,7,05/01/2024,76500
48,8,05/01/2024,57000
49,9,05/01/2024,82000
50,10,05/01/2024,43000
51,1,06/01/2024,65000
52,2,06/01/2024,58500
53,3,06/01/2024,75500
54,4,06/01/2024,50000
55,5,06/01/2024,68000
56,6,06/01/2024,55500
57,7,06/01/2024,82000
58,8,06/01/2024,62000
59,9,06/01/2024,88000
60,10,06/01/2024,47500
61,1,07/01/2024,63000
62,2,07/01/2024,57000
63,3,07/01/2024,73000
64,4,07/01/2024,48500
65,5,07/01/2024,66000
66,6,07/01/2024,53500
67,7,07/01/2024,80000
68,8,07/01/2024,60000
69,9,07/01/2024,85500
70,10,07/01/2024,45500
71,1,08/01/2024,61500
72,2,08/01/2024,55500
73,3,08/01/2024,71500
74,4,08/01/2024,47000
75,5,08/01/2024,64500
76,6,08/01/2024,52000
77,7,08/01/2024,78500
78,8,08/01/2024,58500
79,9,08/01/2024,84000
80,10,08/01/2024,44500
81,1,09/01/2024,67000
82,2,09/01/2024,60500
83,3,09/01/2024,77500
84,4,09/01/2024,52000
85,5,09/01/2024,70000
86,6,09/01/2024,57000
87,7,09/01/2024,85000
88,8,09/01/2024,64000
89,9,09/01/2024,91000
90,10,09/01/2024,49000
91,1,10/01/2024,70000
92,2,10/01/2024,63000
93,3,10/01/2024,81000
94,4,10/01/2024,54500
95,5,10/01/2024,73000
96,6,10/01/2024,60000
97,7,10/01/2024,89000
98,8,10/01/2024,67000
99,9,10/01/2024,95500
100,10,10/01/2024,51500
101,1,11/01/2024,74000
102,2,11/01/2024,67000
103,3,11/01/2024,86000
104,4,11/01/2024,58000
105,5,11/01/2024,77500
106,6,11/01/2024,64000
107,7,11/01/2024,94000
108,8,11/01/2024,71000
109,9,11/01/2024,101000
110,10,11/01/2024,55000
111,1,12/01/2024,80000
112,2,12/01/2024,72500
113,3,12/01/2024,93000
114,4,12/01/2024,63000
115,5,12/01/2024,84000
116,6,12/01/2024,69500
117,7,12/01/2024,102000
118,8,12/01/2024,77000
119,9,12/01/2024,109500
120,10,12/01/2024,60000
